,model,score,noTDA,withTDA,ttest,pvalue,onlyTDA,ttest2,pvalue2,featureN,featureW,featureT
0,SVC1,F1,0.535,0.545,-1.025174862,0.306531519,0.512,2.594434354,0.010183238,35,35,5
1,kNN3,F1,0.512,0.506,0.664236543,0.507311708,0.498,1.573721936,0.117148261,40,20,5
2,RF,F1,0.53,0.522,0.979258678,0.328647163,0.53,0.076216539,0.93932378,10,35,35
3,SVC1,AUC,0.503,0.512,-1.361496178,0.1749042,0.534,-4.639439867,6.34E-06,25,35,20
4,kNN3,AUC,0.5,0.501,-0.189394563,0.849977591,0.498,0.349676455,0.726953168,70,20,5
5,RF,AUC,0.532,0.521,1.672539103,0.095997417,0.526,0.994761955,0.321066179,10,35,40
6,SVC1,Accuracy,0.506,0.515,-1.405631308,0.161400837,0.529,-3.425490383,0.000746064,25,35,10
7,kNN3,Accuracy,0.5,0.5,-0.064226832,0.948854408,0.496,0.545000637,0.586366427,70,20,5
8,RF,Accuracy,0.531,0.52,1.674505777,0.095610003,0.525,1.017829466,0.310001081,10,35,40
