,model,score,noTDA,withTDA,ttest,pvalue,onlyTDA,ttest2,pvalue2,featureN,featureW,featureT
0,SVC1,F1,0.479,0.467,0.819487023,0.413493929,0.422,4.055476914,7.19E-05,60,70,10
1,kNN3,F1,0.436,0.435,0.040260617,0.967925918,0.436,-0.003450298,0.99725054,25,30,15
2,RF,F1,0.452,0.436,1.084960588,0.279258361,0.424,2.007635471,0.046041443,10,60,10
3,SVC1,AUC,0.595,0.582,0.99911806,0.318956957,0.536,4.950339893,1.58E-06,35,70,10
4,kNN3,AUC,0.549,0.548,0.123591264,0.901764279,0.556,-0.593009365,0.553851605,25,25,15
5,RF,AUC,0.572,0.557,1.26808645,0.206256138,0.547,2.221653448,0.027439249,10,70,10
6,SVC1,Accuracy,0.587,0.57,1.351397064,0.178110274,0.522,5.729789426,3.70E-08,25,25,15
7,kNN3,Accuracy,0.553,0.544,0.750804907,0.453661429,0.556,-0.309900769,0.756962339,10,25,10
8,RF,Accuracy,0.572,0.563,0.780884514,0.435803036,0.546,2.513600232,0.012747425,10,50,10
