,model,score,noTDA,withTDA,ttest,pvalue,onlyTDA,ttest2,pvalue2,featureN,featureW,featureT
0,SVC1,F1,0.479,0.469,0.67189276,0.502435183,0.441,2.692963343,0.00768911,60,60,15
1,kNN3,F1,0.436,0.434,0.143994555,0.88565122,0.487,-3.867348059,0.0001492,25,40,10
2,RF,F1,0.452,0.457,-0.369718141,0.711987642,0.451,0.090763527,0.927772245,10,45,10
3,SVC1,AUC,0.595,0.588,0.562293863,0.574551843,0.557,3.230536698,0.001446869,35,60,10
4,kNN3,AUC,0.549,0.543,0.526360417,0.599226923,0.603,-4.81246928,2.95E-06,25,25,10
5,RF,AUC,0.572,0.579,-0.61027384,0.54238023,0.576,-0.357977006,0.720741854,10,45,10
6,SVC1,Accuracy,0.587,0.583,0.298745489,0.765447551,0.548,3.456498909,0.000669636,25,60,10
7,kNN3,Accuracy,0.553,0.536,1.567513408,0.118591488,0.593,-3.831593761,0.00017089,10,5,10
8,RF,Accuracy,0.572,0.579,-0.626523554,0.531693255,0.58,-0.771277214,0.441462083,10,45,10
